price,ipath,areaname,rating,citydistance,title,canonical,photo,resultsType,latitude,longitude,color
47,34911,"Portland,",70,6,Rodeway Inn Portland Airport,http://www.trivago.com/portland-34911/hotel,//imgec.trivago.com/itemimages/67/10/67109_v3_isq.jpeg,"City - Oregon, USA (189 Hotels)",45.559196,-122.562706,yellow
47,34977,"Rapid City,",83,2.3,Country Inn & Suites By Carlson Rapid City,http://www.trivago.com/rapid-city-34977/hotel,//imgec.trivago.com/itemimages/61/02/61022_v2_isq.jpeg,"City - South Dakota, USA (75 Hotels)",44.108227,-103.2032,yellow
47,34977,"Rapid City,",87,3.7,MainStay Suiteks ,http://www.trivago.com/rapid-city-34977/hotel,//imgec.trivago.com/itemimages/27/20/2720562_isq.jpeg,"City - South Dakota, USA (75 Hotels)",44.10066,-103.161026,yellow
47,34977,"Rapid City,",87,3.7,MainStay Suiteks ,http://www.trivago.com/rapid-city-34977/hotel,//imgec.trivago.com/itemimages/27/20/2720562_isq.jpeg,"City - South Dakota, USA (75 Hotels)",44.10066,-103.161026,yellow
47,34999,"Memphis,",54,2.2,Super 8 Memphis Dntn Graceland Area,http://www.trivago.com/memphis-34999/hotel,//imgec.trivago.com/itemimages/58/54/58546_v2_isq.jpeg,"City - Tennessee, USA (189 Hotels)",35.12411,-90.073166,yellow
47,34999,"Memphis,",61,6.3,Motel 6 Memphis - Graceland,http://www.trivago.com/memphis-34999/hotel,//imgec.trivago.com/itemimages/72/97/72973_v2_isq.jpeg,"City - Tennessee, USA (189 Hotels)",35.060318,-90.010735,yellow
47,34999,"Memphis,",73,1.6,Rodeway Inn Memphis,http://www.trivago.com/memphis-34999/hotel,//imgec.trivago.com/itemimages/12/56/1256905_v2_isq.jpeg,"City - Tennessee, USA (189 Hotels)",35.13448,-90.021675,yellow
47,34999,"Memphis,",58,6.5,Knights Inn,http://www.trivago.com/memphis-34999/hotel,//imgec.trivago.com/itemimages/65/40/65403_v1_isq.jpeg,"City - Tennessee, USA (189 Hotels)",35.065605,-89.99058,yellow
47,34999,"Memphis,",67,9.3,Crown Inn,http://www.trivago.com/memphis-34999/hotel,//imgec.trivago.com/itemimages/20/62/2062148_isq.jpeg,"City - Tennessee, USA (189 Hotels)",35.05414,-89.92839,yellow
47,35007,"Amarillo,",72,4.9,Quality Inn,http://www.trivago.com/amarillo-35007/hotel,//imgec.trivago.com/itemimages/70/90/70908_v2_isq.jpeg,"City - Texas, USA (85 Hotels)",35.19566,-101.92258,yellow
47,35009,"Austin,",70,8.1,Austin Motor Inn,http://www.trivago.com/austin-35009/hotel,//imgec.trivago.com/itemimages/11/10/1110139_v2_isq.jpeg,"City - Texas, USA (313 Hotels)",30.375572,-97.677155,yellow
47,35012,"Corpus Christi,",58,2.6,Knights Inn ,http://www.trivago.com/corpus-christi-35012/hotel,//imgec.trivago.com/itemimages/74/80/74805_v1_isq.jpeg,"City - Texas, USA (136 Hotels)",27.823341,-97.388695,yellow
47,35012,"Corpus Christi,",58,2.6,Knights Inn ,http://www.trivago.com/corpus-christi-35012/hotel,//imgec.trivago.com/itemimages/74/80/74805_v1_isq.jpeg,"City - Texas, USA (136 Hotels)",27.823341,-97.388695,yellow
