thing,avgListPrice,medianPrice,popularity,state,statecode,county,maptype,date,avgDate,medianDate,popularityDate
Rockbridge,313842,158600,46,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Poquoson,313675,311000,14,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Klickitat,313343,,29,Washington,WA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
York,313139,266000,35,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Montrose,312768,194750,21,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Chase,312450,,64,Kansas,KS,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Gulf,312261,130000,43,Florida,FL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Mineral,311317,,19,Montana,MT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Colusa,310834,195000,53,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Bryan,310553,231000,57,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Chelan,310318,253500,21,Washington,WA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Geauga,310036,66000,14,Ohio,OH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
McCormick,309786,,38,South Carolina,SC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Madison,309767,,167,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Merced,309002,217500,35,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Dickinson,308780,,24,Iowa,IA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Santa Cruz,308105,132000,11,Arizona,AZ,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Stanislaus,307741,270000,25,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Washington,307150,,28,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hickman,306735,112500,73,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hillsborough,306646,235000,2,New Hampshire,NH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hillsborough,306625,195000,6,Florida,FL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Sutter,306176,249000,47,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Trinity,306023,219000,54,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lawrence,305064,,3,South Dakota,SD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Sully,305000,,63,South Dakota,SD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Yancey,304899,,54,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Ada,304683,,3,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Belknap,304355,196966,8,New Hampshire,NH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Boise,304123,,16,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Charles,303999,279975,9,Maryland,MD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Juneau,303603,,6,Alaska,AK,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Dutchess,303232,248000,10,New York,NY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cheatham,302924,200000,19,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Chatham,302373,187500,5,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Shelby,301942,195000,2,Alabama,AL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Washington,301525,157500,3,Arkansas,AR,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Bear Lake,301184,,35,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Gloucester,300596,207500,32,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Anoka,300362,,6,Minnesota,MN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Yakutat,300000,,22,Alaska,AK,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Jefferson,299985,,31,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
ONEIDA,299500,,,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Prince George's,299448,270000,2,Maryland,MD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Plaquemines,299418,,1,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Henrico,299328,219000,17,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Door,298817,225000,13,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Leelanau,298780,,39,Michigan,MI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Passaic,298530,293000,9,New Jersey,NJ,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Chesterfield,297935,220000,9,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Madison,297921,231000,11,Iowa,IA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
