lat,lng,name,city,st,url,hotelid,filename,filename
33.596962,-86.215643,Americas Best Value Inn Riverside Pell City,Riverside,AL,//www.allstays.com/hotels/11170.htm,11170,americas-best-value-inn.csv,Americas Best Value Inn
34.660252,-86.017095,Americas Best Value Inn Scottsboro,Scottsboro,AL,//www.allstays.com/hotels/11183.htm,11183,americas-best-value-inn.csv,Americas Best Value Inn
32.433273,-87.05053,Americas Best Value Inn Selma,Selma,AL,//www.allstays.com/hotels/11188.htm,11188,americas-best-value-inn.csv,Americas Best Value Inn
33.177236,-87.524392,Americas Best Value Inn Tuscaloosa,Tuscaloosa,AL,//www.allstays.com/hotels/11221.htm,11221,americas-best-value-inn.csv,Americas Best Value Inn
32.517488,-88.298711,Americas Best Inn and Suites York,York,AL,//www.allstays.com/hotels/11257.htm,11257,americas-best-value-inn.csv,Americas Best Value Inn
34.18282,-93.070498,Americas Best Value Inn Arkadelphia,Arkadelphia,AR,//www.allstays.com/hotels/11261.htm,11261,americas-best-value-inn.csv,Americas Best Value Inn
35.925956,-89.873831,Americas Best Value Inn,Blytheville,AR,//www.allstays.com/hotels/11305.htm,11305,americas-best-value-inn.csv,Americas Best Value Inn
34.620698,-92.500709,Americas Best Value Inn Little Rock Bryant,Bryant,AR,//www.allstays.com/hotels/11319.htm,11319,americas-best-value-inn.csv,Americas Best Value Inn
34.977772,-92.028443,Americas Best Value Inn,Cabot,AR,//www.allstays.com/hotels/11325.htm,11325,americas-best-value-inn.csv,Americas Best Value Inn
33.569326,-92.827587,Americas Best Value Inn,Camden,AR,//www.allstays.com/hotels/52115.htm,52115,americas-best-value-inn.csv,Americas Best Value Inn
35.091397,-92.420226,Americas Best Value Inn Suites Conway,Conway,AR,//www.allstays.com/hotels/11343.htm,11343,americas-best-value-inn.csv,Americas Best Value Inn
33.118085,-91.963462,Americas Best Value Inn,Crossett,AR,//www.allstays.com/hotels/11363.htm,11363,americas-best-value-inn.csv,Americas Best Value Inn
35.041689,-90.790095,Americas Best Value Inn Forrest City,Forrest City,AR,//www.allstays.com/hotels/11516.htm,11516,americas-best-value-inn.csv,Americas Best Value Inn
33.685746,-93.595803,Americas Best Value Inn Suites,Hope,AR,//www.allstays.com/hotels/11580.htm,11580,americas-best-value-inn.csv,Americas Best Value Inn
34.86963,-92.125781,Americas Best Value Inn - Jacksonville / Little Rock,Jacksonville,AR,//www.allstays.com/hotels/11630.htm,11630,americas-best-value-inn.csv,Americas Best Value Inn
35.808608,-90.670887,Americas Best Value Inn,Jonesboro,AR,//www.allstays.com/hotels/11637.htm,11637,americas-best-value-inn.csv,Americas Best Value Inn
34.677552,-92.319691,Americas Best Value Inn Suites,Little Rock,AR,//www.allstays.com/hotels/11661.htm,11661,americas-best-value-inn.csv,Americas Best Value Inn
34.692628,-92.346451,Americas Best Value Inn Suites University Avenue,Little Rock,AR,//www.allstays.com/hotels/11662.htm,11662,americas-best-value-inn.csv,Americas Best Value Inn
34.391196,-92.821621,Americas Best Value Inn,Malvern,AR,//www.allstays.com/hotels/11724.htm,11724,americas-best-value-inn.csv,Americas Best Value Inn
34.885537,-92.382942,Americas Best Value Inn Suites Little Rock Maumelle,Maumelle,AR,//www.allstays.com/hotels/11735.htm,11735,americas-best-value-inn.csv,Americas Best Value Inn
35.177181,-92.744231,Americas Best Value Inn,Morrilton,AR,//www.allstays.com/hotels/11747.htm,11747,americas-best-value-inn.csv,Americas Best Value Inn
34.781817,-92.264535,Americas Best Value Inn,North Little Rock,AR,//www.allstays.com/hotels/11775.htm,11775,americas-best-value-inn.csv,Americas Best Value Inn
33.810601,-93.426918,Americas Best Value Inn Suites,Prescott,AR,//www.allstays.com/hotels/11831.htm,11831,americas-best-value-inn.csv,Americas Best Value Inn
35.304105,-93.140123,Americas Best Value Inn Suites Russellville,Russellville,AR,//www.allstays.com/hotels/11849.htm,11849,americas-best-value-inn.csv,Americas Best Value Inn
35.24872,-91.694925,Americas Best Value Inn Suites,Searcy,AR,//www.allstays.com/hotels/11860.htm,11860,americas-best-value-inn.csv,Americas Best Value Inn
36.176587,-94.560522,Americas Best Value Inn Suites,Siloam Springs,AR,//www.allstays.com/hotels/11873.htm,11873,americas-best-value-inn.csv,Americas Best Value Inn
33.345735,-92.73105,Americas Best Value Inn Smackover,Smackover,AR,//www.allstays.com/hotels/11878.htm,11878,americas-best-value-inn.csv,Americas Best Value Inn
35.156039,-90.153337,Americas Best Value Inn,West Memphis,AR,//www.allstays.com/hotels/11930.htm,11930,americas-best-value-inn.csv,Americas Best Value Inn
32.777495,-111.617742,Americas Best Value Inn - Eloy / Casa Grande,Eloy,AZ,//www.allstays.com/hotels/52096.htm,52096,americas-best-value-inn.csv,Americas Best Value Inn
35.199373,-111.619414,Americas Best Value Inn and Suites Flagstaff,Flagstaff,AZ,//www.allstays.com/hotels/12082.htm,12082,americas-best-value-inn.csv,Americas Best Value Inn
34.906246,-110.157924,Americas Best Value Inn,Holbrook,AZ,//www.allstays.com/hotels/12215.htm,12215,americas-best-value-inn.csv,Americas Best Value Inn
33.414936,-110.831852,Americas Best Value Inn Globe Miami,Miami,AZ,//www.allstays.com/hotels/12335.htm,12335,americas-best-value-inn.csv,Americas Best Value Inn
36.918635,-111.457806,Americas Best Value Inn,Page,AZ,//www.allstays.com/hotels/12353.htm,12353,americas-best-value-inn.csv,Americas Best Value Inn
34.230183,-111.325458,Americas Best Value Inn Payson,Payson,AZ,//www.allstays.com/hotels/12381.htm,12381,americas-best-value-inn.csv,Americas Best Value Inn
