"name" "lastname" "firstname" "articleNum" "birthDate" "birthMonth" "birthDay" "zodiac"
"183" "Azinger, Paul" "Azinger" "Paul" 8 1960-01-06 1 6 "Capricorn"
"184" "Aznar, Jose Maria" "Aznar" "Jose Maria" 2 1953-02-25 2 25 "Pisces"
"185" "Babbitt, Bruce" "Babbitt" "Bruce" 3 1938-06-27 6 27 "Cancer"
"186" "Babbitt, Milton" "Babbitt" "Milton" 6 1916-05-10 5 10 "Taurus"
"187" "Bacall, Lauren" "Bacall" "Lauren" 12 1924-09-16 9 16 "Virgo"
"188" "Bacanovic, Peter E" "Bacanovic" "Peter E" 3 NA NA NA NA
"189" "Bach, Johann Sebastian" "Bach" "Johann Sebastian" 22 1685-03-21 3 21 "Aries"
"190" "Bacharach, Burt" "Bacharach" "Burt" 4 1928-05-12 5 12 "Taurus"
"191" "Bacon, Kevin" "Bacon" "Kevin" 13 1958-07-08 7 8 "Cancer"
"192" "Badillo, Herman" "Badillo" "Herman" 1 1929-08-21 8 21 "Leo"
"193" "Baez, Anthony Ramon" "Baez" "Anthony Ramon" 0 1965-01-01 1 1 "Capricorn"
"194" "Baez, Joan" "Baez" "Joan" 6 1941-01-09 1 9 "Capricorn"
"195" "Baffert, Bob" "Baffert" "Bob" 24 1953-01-13 1 13 "Capricorn"
"196" "Bai, Matt" "Bai" "Matt" 0 1968-09-09 9 9 "Virgo"
"197" "Bailey, Donovan" "Bailey" "Donovan" 1 1967-12-16 12 16 "Sagittarius"
"198" "Bailey, F Lee" "Bailey" "F Lee" 1 1933-06-10 6 10 "Gemini"
"199" "Bailey, Jerry" "Bailey" "Jerry" 7 1957-08-29 8 29 "Virgo"
"200" "Baitz, Jon Robin" "Baitz" "Jon Robin" 9 1961-11-04 11 4 "Scorpio"
"201" "Baiul, Oksana" "Baiul" "Oksana" 2 1977-11-16 11 16 "Scorpio"
"202" "Baker, Dusty" "Baker" "Dusty" 8 1949-06-15 6 15 "Gemini"
"203" "Baker, Howard H Jr" "Baker" "Howard H Jr" 0 1925-11-15 11 15 "Scorpio"
"204" "Baker, James A III" "Baker" "James A III" 48 1930-04-28 4 28 "Taurus"
"205" "Baker, Nicholson" "Baker" "Nicholson" 8 1957-01-07 1 7 "Capricorn"
"206" "Baker, Vin" "Baker" "Vin" 4 1971-11-23 11 23 "Sagittarius"
"207" "Baker, William F" "Baker" "William F" 2 NA NA NA NA
"208" "Balaguer, Joaquin" "Balaguer" "Joaquin" 1 1906-09-01 9 1 "Virgo"
"209" "Balanchine, George" "Balanchine" "George" 95 1904-01-22 1 22 "Aquarius"
"210" "Baldrige, Letitia" "Baldrige" "Letitia" 6 1926-02-09 2 9 "Aquarius"
"211" "Baldwin, Alec" "Baldwin" "Alec" 38 1958-04-03 4 3 "Aries"
"212" "Baldwin, William" "Baldwin" "William" 0 1963-02-21 2 21 "Pisces"
"213" "Bale, Christian" "Bale" "Christian" 25 1974-01-30 1 30 "Aquarius"
"214" "Ball, Lucille" "Ball" "Lucille" 3 1911-08-06 8 6 "Leo"
"215" "Ballmer, Steven A" "Ballmer" "Steven A" 39 1956-03-24 3 24 "Aries"
"216" "Baltimore, David" "Baltimore" "David" 0 1938-03-07 3 7 "Pisces"
"217" "Ban Ki-moon" "Ban Ki-moon" NA 95 1944-06-13 6 13 "Gemini"
"218" "Ban, Shigeru" "Ban" "Shigeru" 7 1957-08-05 8 5 "Leo"
"219" "Banderas, Antonio" "Banderas" "Antonio" 5 1960-08-10 8 10 "Leo"
"220" "Banks, Russell" "Banks" "Russell" 5 1940-03-28 3 28 "Aries"
