avgListPrice,medianPrice,popularity,statecode,city,state,latitude,longitude
221860,,13,TX,Cameron,Texas,30.8532454,-96.9769304
221813,,31,SC,Newberry,South Carolina,34.2745833,-81.6187178
221748,,26,MT,Stillwater,Montana,45.7001096,-109.3922403
221703,94500,26,KY,Trigg,Kentucky,36.8473642,-87.7763333
221654,,14,TX,Brazoria,Texas,29.0444147,-95.5691126
221575,,94,VA,Buckingham,Virginia,37.507008,-78.5660852
221573,,28,TX,Lubbock,Texas,33.5778631,-101.8551665
221380,,56,LA,Winn,Louisiana,31.9196124,-92.6586401
221017,,20,MI,Lapeer,Michigan,43.0514161,-83.3188341
221007,127700,32,TN,Coffee,Tennessee,35.4576849,-86.0529604
220720,161500,35,FL,Clay,Florida,29.9943564,-81.7787021
220415,185000,77,VA,King William,Virginia,37.7372121,-77.1485163
220308,,12,ME,Waldo,Maine,44.5125736,-69.0761483
219915,53000,47,KY,Crittenden,Kentucky,38.7828437,-84.6052206
219814,,3,ND,Grand Forks,North Dakota,47.9252568,-97.0328547
219747,97000,12,NJ,Burlington,New Jersey,40.071222,-74.8648873
219697,,186,TX,Jeff Davis,Texas,30.750805,-104.1930918
219686,148500,25,NC,Forsyth,North Carolina,36.1200003,-80.1875065
219564,48000,5,NE,Cass,Nebraska,40.8755529,-96.1526985
219540,,11,IN,Hendricks,Indiana,39.8064942,-86.5400674
219406,205000,46,CA,Kings,California,36.0988489,-119.8815203
219294,,150,TX,Andrews,Texas,32.3187158,-102.5457155
219176,154950,3,AL,Madison,Alabama,34.6992579,-86.7483318
219111,,52,NY,Yates,New York,43.3348181,-78.4069732
219107,,79,TX,Fannin,Texas,28.6968366,-97.2366932
218854,130000,35,MN,Kandiyohi,Minnesota,45.1144552,-95.0155836
218702,,55,MN,Pope,Minnesota,45.5472257,-95.4363717
218643,178450,52,VA,Caroline,Virginia,38.0445557,-77.2864879
218628,,1,KY,Jefferson,Kentucky,38.1938097,-85.643487
218256,78000,89,TN,Hancock,Tennessee,36.5456022,-83.2077645
218122,,15,MO,Stone,Missouri,36.7748882,-93.4599326
218085,149900,67,TN,Cannon,Tennessee,35.8070317,-86.0529604
218069,159450,15,AL,Saint Clair,Alabama,33.6530112,-86.3376761
218056,135450,18,TN,Bradley,Tennessee,35.1937778,-84.8567932
217810,159000,6,GA,Henry,Georgia,33.4347963,-84.1435136
217564,156500,50,NC,Granville,North Carolina,36.2799451,-78.6114999
217527,,12,AR,Carroll,Arkansas,36.2987495,-93.5003454
217437,,27,IL,Jo Daviess,Illinois,42.3148804,-90.2244662
217387,,125,TX,Live Oak,Texas,29.5652286,-98.3364025
217146,,25,LA,West Baton Rouge,Louisiana,30.4751202,-91.3276422
217129,,65,NC,Davie,North Carolina,35.9367033,-80.5882803
217059,,8,WY,Sweetwater,Wyoming,41.8519395,-109.1880047
217041,,11,TX,McLennan,Texas,31.5182285,-97.179026
216990,146500,24,MD,Caroline,Maryland,38.9105018,-75.8533954
216892,,18,WY,Big Horn,Wyoming,44.6811687,-106.9920851
216702,,41,MN,Cass,Minnesota,47.2144536,-94.2309171
216669,,2,OH,Franklin,Ohio,39.5589474,-84.3041074
216651,,51,NC,McDowell,North Carolina,35.6984405,-82.0842901
216367,124350,25,MI,Van Buren,Michigan,42.2203171,-83.4838244
216135,,11,AL,Elmore,Alabama,32.5387448,-86.3149712
216055,,80,TX,Atascosa,Texas,29.2648341,-98.7348026
215964,158000,53,VA,Mecklenburg,Virginia,36.6421724,-78.3842227
215728,117000,61,OH,Hocking,Ohio,39.4909358,-82.4752757
215709,,7,KS,Riley,Kansas,39.2988853,-96.8308436
215647,,17,LA,Saint Martin,Louisiana,30.2395901,-91.7538817
215530,170000,10,WI,Eau Claire,Wisconsin,44.811349,-91.4984941
215478,144000,91,TN,Trousdale,Tennessee,36.396385,-86.1548269
215413,159450,20,FL,Bay,Florida,30.1805306,-85.684578
215299,111250,100,VA,Essex,Virginia,37.9671684,-76.964306
215206,,23,MN,Otter Tail,Minnesota,46.5189435,-95.8935983
214953,161000,2,NE,Lancaster,Nebraska,40.8471492,-96.663812
214828,,82,KY,Hancock,Kentucky,37.8280909,-86.761749
214816,159000,58,CO,Morgan,Colorado,40.2989226,-103.7289167
214737,,92,VA,Appomattox,Virginia,37.3570894,-78.8252911
214712,,30,VA,Accomack,Virginia,37.7063323,-75.8069082
214666,,80,KS,Kearny,Kansas,38.0281402,-101.2523792
214588,,23,PA,Lebanon,Pennsylvania,40.3409251,-76.4113497
214567,141450,18,OH,Madison,Ohio,41.7711633,-81.049819
214546,,34,SC,Aiken,South Carolina,33.5604168,-81.7195533
214372,145000,42,CA,Tehama,California,40.0271015,-122.1233228
214166,,15,ME,Franklin,Maine,44.5874877,-68.2316054
214126,114150,14,AR,Madison,Arkansas,35.0131472,-90.7226097
214064,,52,TX,Burleson,Texas,32.5420821,-97.3208492
214060,172250,2,AZ,Pinal,Arizona,32.8162061,-111.2845025
214046,,2,MS,DeSoto,Mississippi,34.9065453,-89.9626799
213799,,35,WA,Ferry,Washington,47.6026614,-122.338336
213639,151500,20,OR,Umatilla,Oregon,45.9173549,-119.3425179
213600,159900,9,PA,York,Pennsylvania,39.9625984,-76.727745
213501,147733,10,NH,Sullivan,New Hampshire,43.0131353,-72.2209182
213452,,8,LA,Bossier,Louisiana,32.7551322,-93.6623239
213398,92000,93,VA,Surry,Virginia,37.1379265,-76.8352384
213395,186250,24,IL,Grundy,Illinois,41.3500531,-88.4016041
213289,,15,WY,Converse,Wyoming,43.0489425,-105.4068079
213156,179000,58,WI,Washburn,Wisconsin,46.6732722,-90.8949075
213066,,115,TX,Calhoun,Texas,28.4169365,-96.663812
213029,,8,ND,Stark,North Dakota,46.8250004,-102.6554727
213028,,43,MN,Isanti,Minnesota,45.4894008,-93.2476091
213000,150500,3,OK,Canadian,Oklahoma,35.1773201,-95.6552659
212866,173750,38,CO,Custer,Colorado,38.0615578,-105.3131185
212854,,17,MN,Beltrami,Minnesota,47.5424684,-96.530344
212762,,21,ID,Latah,Idaho,46.7360364,-116.6764195
212752,,29,ID,Cassia,Idaho,42.358036,-113.5728501
212500,,55,KY,Mercer,Kentucky,37.8258603,-84.8984775
212439,,18,LA,Saint Charles,Louisiana,29.9273657,-90.3371889
212411,200000,3,NC,Brunswick,North Carolina,34.0275398,-78.2020387
212203,170000,25,AL,Limestone,Alabama,34.7800072,-86.9423801
212181,75000,96,GA,Wilkes,Georgia,33.808264,-82.7778579
212021,185000,3,DE,Kent,Delaware,39.1440612,-75.4344727
211673,135000,15,OK,Logan,Oklahoma,35.9404623,-97.5247243
211575,120880,47,GA,Whitfield,Georgia,34.8033566,-84.981754
211492,,13,LA,Tangipahoa,Louisiana,30.6194521,-90.3748354
211433,21000,2,ND,Ward,North Dakota,48.2147451,-101.5805256
211314,,82,TX,Nacogdoches,Texas,31.6035129,-94.6554874
211253,,22,UT,Juab,Utah,39.7108104,-112.7152125
211200,,38,ID,Camas,Idaho,43.5093688,-114.8243665
211020,25000,104,GA,Talbot,Georgia,32.6891322,-84.5222189
210997,,135,TX,Jack,Texas,33.2560382,-98.2212979
210882,77000,81,TN,Grundy,Tennessee,35.4013452,-85.684578
210613,,31,OH,Ottawa,Ohio,41.0192185,-84.0471666
210255,160000,6,OK,Rogers,Oklahoma,36.3898068,-95.6457951
210165,,12,IN,LaPorte,Indiana,41.611143,-86.7227195
210129,30000,63,WI,Trempealeau,Wisconsin,44.0055185,-91.4420883
209914,150000,24,WA,Stevens,Washington,48.4558249,-117.9059909
209771,,7,WV,Hardy,West Virginia,39.0416116,-78.9288242
209307,158900,31,WI,Calumet,Wisconsin,43.9120646,-88.3044908
209282,95986,64,GA,Stephens,Georgia,33.794843,-83.1615422
209197,,43,IA,Guthrie,Iowa,41.7530909,-94.479976
209195,157000,13,PA,Lehigh,Pennsylvania,40.6519679,-75.5742467
209146,155000,18,CO,Fremont,Colorado,38.5306514,-105.5005483
208863,,69,TX,Victoria,Texas,28.8052674,-97.0035982
208826,100000,8,AL,Tuscaloosa,Alabama,33.2098407,-87.5691735
208800,,20,KY,Nelson,Kentucky,37.7647455,-85.4788065
208666,393450,27,AL,Bullock,Alabama,32.0573536,-85.7256372
208660,,7,IA,Dubuque,Iowa,42.5005583,-90.6645718
208641,151500,13,GA,Douglas,Georgia,31.5088073,-82.8498654
208520,126000,53,TN,Marshall,Tennessee,35.4792517,-86.7818523
207996,165000,18,WA,Lewis,Washington,46.6195461,-122.4554639
207900,,13,AK,Bethel,Alaska,60.7922222,-161.7558333
207885,159900,1,PA,Philadelphia,Pennsylvania,39.9525839,-75.1652215
207865,188000,20,OH,Fairfield,Ohio,39.3454673,-84.5603187
207865,,50,CO,Costilla,Colorado,37.2049596,-105.5005483
207841,149300,55,TN,Grainger,Tennessee,36.3059333,-83.5496566
207650,,33,MT,Broadwater,Montana,46.2693726,-111.4519716
207615,335000,36,KY,Spencer,Kentucky,38.0123167,-85.3136218
207529,185000,9,MA,Hampden,Massachusetts,42.0639841,-72.4134167
207502,,35,WI,Portage,Wisconsin,43.5391486,-89.4626202
207282,126500,49,GA,Thomas,Georgia,30.8417409,-83.8473015
207245,115000,91,NC,Graham,North Carolina,36.0690258,-79.4005756
207222,,15,LA,Rapides,Louisiana,31.1461104,-92.539603
207150,,147,TX,Rains,Texas,32.9009129,-95.7721204
207026,,25,MT,Hill,Montana,48.7488096,-110.0350874
206842,196900,5,NV,Lyon,Nevada,38.9524739,-119.1390642
206737,,50,CA,Lassen,California,40.5394389,-120.7120023
206707,151500,18,VA,Salem,Virginia,37.2934681,-80.0547626
206268,148750,39,WI,Polk,Wisconsin,43.3252703,-88.2169027
206243,134200,62,PA,Montour,Pennsylvania,41.0262303,-76.6874701
206169,,31,MN,Douglas,Minnesota,45.9279387,-95.4218815
205944,,26,NC,Johnston,North Carolina,35.4403514,-78.3842227
