artist,hotness
Jenni Vartiainen,0.700855
Cassandra Wilson,0.700802
Lane 8,0.700635
Boston,0.700462
Brooke Fraser,0.700454
Curren$y,0.700358
Chromeo,0.700309
Migos,0.700138
Pierce the Veil,0.699552
A Tribe Called Quest,0.698822
Bersuit Vergarabat,0.698337
Melody Gardot,0.69807
Andrea Bocelli,0.697166
They Might Be Giants,0.697152
James Vincent McMorrow,0.697087
Ane Brun,0.697037
While She Sleeps,0.696947
London Philharmonic Orchestra,0.69694
t.A.T.u.,0.696704
Ronan Keating,0.69668
Raekwon,0.696669
Yael Naim,0.696351
Tears for Fears,0.695821
*NSYNC,0.695309
Fugees,0.694961
July Talk,0.694781
Benny Benassi,0.694703
Eiffel 65,0.694697
João Bosco & Vinícius,0.694578
SANE,0.694484
Angus & Julia Stone,0.694369
UVERworld,0.694253
Kerli,0.694143
Ólafur Arnalds,0.694018
Jack White,0.693786
W.E.T.,0.69361
Heart,0.693509
Nelly Furtado,0.693485
Little Dragon,0.693427
Eagle-Eye Cherry,0.693409
Fito Y Fitipaldis,0.693274
Cyndi Lauper,0.69322
The Replacements,0.693172
Billie Holiday,0.693105
Silvio Rodríguez,0.692354
ZZ Top,0.692268
Rahat Fateh Ali Khan,0.692214
Alphaville,0.692024
San Fermin,0.692006
The Beach Boys,0.691804
Bridgit Mendler,0.691789
RDB,0.69159
Stone Sour,0.691517
Marco Masini,0.69145
Juan Luis Guerra,0.691398
Austin Mahone,0.691094
The Avett Brothers,0.691028
The Who,0.690979
I'm from Barcelona,0.690665
Flying Lotus,0.690636
Zucchero,0.690556
Dizzee Rascal,0.690423
Alice in Chains,0.690371
Dido,0.690308
Lila Downs,0.690167
Ron Sexsmith,0.69007
St. Vincent,0.690034
Gregory Alan Isakov,0.68995
James Brown,0.689863
The Police,0.689669
Frédéric Chopin,0.689495
Frédéric Chopin/Arthur Rubinstein,0.689495
Dawn,0.689482
Mario Biondi,0.689415
Band of Horses,0.689359
Sam Tsui,0.689182
C+C Music Factory,0.688899
TGT,0.688751
Vangelis,0.688724
Knife Party,0.688655
Roberto Carlos,0.688407
Cultura Profética,0.68786
Lynyrd Skynyrd,0.687652
Amit Trivedi,0.687468
Silvestre Dangond,0.687229
Beastie Boys,0.687152
George Harrison,0.687088
Manu Chao,0.68697
William Elliott Whitmore,0.686815
The Chemical Brothers,0.686749
Gin Wigmore,0.686633
Rainbow,0.68658
Goldfrapp,0.686357
Françoise Hardy,0.686322
Razorlight,0.685814
Macklemore,0.6858
Wax Tailor,0.685609
Khaled,0.685151
Jeff Beck,0.684948
Godsmack,0.684825
Ramin Djawadi,0.684661
Marisa Monte,0.684486
布袋寅泰,0.684411
John Coltrane,0.684366
Von Hertzen Brothers,0.684061
2NE1,0.683921
Boyce Avenue,0.683731
Babasónicos,0.683594
Ray Charles,0.683526
The Head and the Heart,0.683335
Sore,0.683184
The Clash,0.683158
Porcupine Tree,0.682822
Headhunterz,0.682768
GrubSon,0.68272
La Ley,0.682531
Perturbator,0.68248
Tina Turner,0.682184
Andrew Rayel,0.682145
Gareth Emery,0.682125
Son Lux,0.681814
Dope Stars Inc.,0.681573
Stereo MC's,0.681359
Nosaj Thing,0.681227
Leon Somov & Jazzu,0.680835
KęKę,0.680777
Soda Stereo,0.680482
Chicago,0.680469
De La Soul,0.6804
Jethro Tull,0.68033
Emika,0.680116
태양,0.679937
Deep Purple,0.679791
Skiantos,0.67944
Charles Aznavour,0.679423
The Piano Guys,0.67942
Spice Girls,0.679335
Graeme Revell,0.679256
Santiago Cruz,0.679109
Smokie,0.679061
Melechesh,0.678778
Little River Band,0.678659
Fever Ray,0.678596
Beardfish,0.678339
Håkan Hellström,0.67831
Editors,0.678142
Los Fabulosos Cadillacs,0.678024
Culture Club,0.677663
Ramones,0.67758
The Ramones,0.67758
Goldroom,0.677261
Goldroom vs. M.A.M.,0.677261
Jagged Edge,0.677195
Sara,0.677161
The Pointer Sisters,0.677132
Peter Gabriel,0.677118
Eddie Vedder,0.676928
Feist,0.676851
Foreigner,0.676795
Markus Schulz,0.676668
Sade,0.676596
Great Lake Swimmers,0.67657
The Roots,0.67645
Brandy,0.676274
Metronomy,0.675977
Yann Tiersen,0.675901
The M Machine,0.675728
Phantogram,0.675667
Leftfield,0.675659
로이킴 (Roy Kim),0.675623
Falling in Reverse,0.67554
Gonzales,0.67551
Helloween,0.675495
Rufus,0.67549
Oceano,0.675474
Morrissey,0.675425
Shinedown,0.675248
Kristen Bell,0.674693
The Temper Trap,0.67462
a-ha,0.674487
Waka Flocka Flame,0.674452
Sido,0.674161
Modern Talking,0.674103
Sash!,0.674029
O Teatro Mágico,0.673987
Juli,0.673873
Katie Melua,0.67384
Ryan Amon,0.67383
Chris Isaak,0.673724
Nouvelle Vague,0.673521
Volbeat,0.673101
Ozzy Osbourne,0.672777
YUI,0.672733
Skank,0.672604
Cream,0.672461
Marcus Miller,0.672059
Milo Greene,0.672031
Anne Hathaway,0.671944
Skillet,0.671788
Toni Braxton,0.671702
Etta James,0.67159
Cher,0.671567
A Day to Remember,0.671336
I Mother Earth,0.671235
Negramaro,0.671124
Carole King,0.671072
Papa Roach,0.671013
Bill Withers,0.670816
Sam Cooke,0.670748
Fear,0.670714
Kool & the Gang,0.670565
B.B. King,0.670512
Rage Against the Machine,0.67023
Barenaked Ladies,0.670076
WhoMadeWho,0.669919
Chris de Burgh,0.669779
Duke Ellington,0.669658
4 Non Blondes,0.669596
Rick Astley,0.669439
David Garrett,0.66928
Ana Tijoux,0.669257
Krista Siegfrids,0.669183
The New Pornographers,0.669093
Dada Life,0.669079
Opeth,0.668729
Andrew Belle,0.668677
Gotan Project,0.668635
Eva Cassidy,0.668444
Alabama 3,0.668155
Wolfgang Petry,0.667964
Kansas,0.66777
My Chemical Romance,0.667709
Fabolous,0.667222
