year,sex,rank,name,size,perc,total_size,total_perc
1994,M,8,Brandon,540,1.4,5140,13.0
1994,M,9,Matthew,540,1.4,5680,14.4
1992,F,3,Sarah,540,1.4,1951,5.0
1995,M,7,Matthew,539,1.4,4474,11.4
1985,M,12,Kyle,539,1.5,8960,25.0
1993,M,13,Matthew,538,1.3,7983,19.8
1980,F,5,Amanda,537,1.6,3482,10.6
1996,F,1,Emily,536,1.4,536,1.4
1992,M,14,Alexander,535,1.3,9097,22.1
1991,M,13,Brandon,535,1.3,9026,22.1
2002,M,2,Jacob,534,1.3,1102,2.7
1992,M,15,Daniel,534,1.3,9631,23.4
1991,M,14,Zachary,533,1.3,9559,23.4
1995,F,1,Jessica,531,1.4,531,1.4
1995,M,8,Brandon,530,1.4,5004,12.7
1984,F,5,Ashley,530,1.6,3454,10.3
1981,M,14,Andrew,530,1.5,10401,29.1
1984,M,12,Justin,529,1.5,9001,25.4
1994,M,10,Nicholas,528,1.3,6208,15.7
1993,F,3,Sarah,528,1.4,1858,4.8
1982,M,13,John,528,1.5,9768,27.5
1985,M,13,Joseph,527,1.5,9487,26.5
1981,M,15,Brian,527,1.5,10928,30.5
1993,M,14,Austin,524,1.3,8507,21.1
1983,M,15,Robert,524,1.5,10924,30.9
1994,F,3,Ashley,523,1.4,1756,4.6
1993,M,15,Daniel,522,1.3,9029,22.4
1983,M,16,Brian,522,1.5,11446,32.4
1983,M,17,John,522,1.5,11968,33.9
1997,M,5,Joshua,521,1.3,3074,7.7
1995,F,2,Emily,521,1.4,1052,2.8
1999,M,2,Michael,520,1.3,1249,3.1
1994,M,11,Daniel,519,1.3,6727,17.0
1994,M,12,Zachary,517,1.3,7244,18.3
1987,M,12,Brandon,516,1.4,8648,23.9
1986,M,12,James,516,1.5,8607,24.2
2004,M,1,Jacob,515,1.2,515,1.2
1989,M,14,James,515,1.3,9655,25.0
2001,F,1,Emily,514,1.3,514,1.3
1998,M,4,Joshua,514,1.3,2453,6.0
1996,M,6,Brandon,514,1.3,3734,9.3
1995,M,9,Daniel,514,1.3,5518,14.1
1993,M,16,David,514,1.3,9543,23.7
2007,M,1,Jacob,513,1.1,513,1.1
2000,M,2,Joshua,513,1.2,1172,2.8
1997,M,6,Tyler,513,1.3,3587,9.0
1985,M,14,Robert,513,1.4,10000,27.9
2000,F,2,Hannah,512,1.3,1068,2.7
1994,M,13,Alexander,512,1.3,7756,19.6
1994,M,14,Ryan,512,1.3,8268,20.9
1989,F,5,Brittany,512,1.4,3635,9.9
1984,M,13,Robert,511,1.4,9512,26.9
1980,M,14,Brian,511,1.5,10296,29.6
1996,M,7,Nicholas,510,1.3,4244,10.6
1993,F,4,Emily,510,1.3,2368,6.2
1988,M,13,Tyler,510,1.4,9128,24.6
1984,M,14,Joseph,510,1.4,10022,28.3
1980,M,15,Nicholas,510,1.5,10806,31.0
1999,M,3,Joshua,509,1.2,1758,4.3
1998,M,5,Andrew,509,1.2,2962,7.3
1986,M,13,Robert,509,1.4,9116,25.7
1996,M,8,Andrew,506,1.3,4750,11.9
1996,M,9,Matthew,505,1.3,5255,13.1
1987,M,13,James,505,1.4,9153,25.3
1987,M,14,Robert,505,1.4,9658,26.7
2000,M,3,Michael,504,1.2,1676,4.0
1998,F,2,Hannah,504,1.3,1076,2.8
1997,M,7,Alexander,504,1.3,4091,10.2
1981,M,16,Nicholas,504,1.4,11432,31.9
1995,M,10,Andrew,503,1.3,6021,15.3
2004,M,2,Ethan,501,1.2,1016,2.4
1986,M,14,Jacob,501,1.4,9617,27.1
1982,F,5,Melissa,501,1.5,3606,10.6
1992,M,16,Joseph,500,1.2,10131,24.6
1998,M,6,Alexander,499,1.2,3461,8.5
1989,M,15,Joseph,499,1.3,10154,26.3
1984,M,15,John,499,1.4,10521,29.7
2003,M,2,Ethan,498,1.2,1042,2.5
1992,F,4,Amanda,498,1.3,2449,6.3
1991,M,15,James,498,1.2,10057,24.6
1982,M,14,Brian,498,1.4,10266,28.9
1995,M,11,Alexander,497,1.3,6518,16.6
1991,M,16,Joseph,497,1.2,10554,25.8
1982,M,15,Andrew,497,1.4,10763,30.3
1991,M,17,Jordan,496,1.2,11050,27.0
1984,M,16,Nicholas,494,1.4,11015,31.1
2000,M,4,Alexander,493,1.2,2169,5.2
1994,M,15,Kyle,493,1.2,8761,22.1
1980,M,16,Andrew,493,1.4,11299,32.4
2006,M,1,Jacob,492,1.1,492,1.1
1988,M,14,Jacob,492,1.3,9620,25.9
1988,F,5,Jennifer,491,1.4,3710,10.5
1985,F,6,Nicole,491,1.4,4212,12.3
1999,F,2,Hannah,490,1.3,1056,2.7
2002,F,1,Emily,489,1.3,489,1.3
1990,M,16,Joseph,488,1.2,10988,27.0
2005,M,1,Jacob,487,1.2,487,1.2
1988,M,15,Brandon,487,1.3,10107,27.2
1986,M,15,Joseph,487,1.4,10104,28.4
1986,M,16,Justin,487,1.4,10591,29.8
2004,F,1,Emma,486,1.2,486,1.2
1999,M,4,Andrew,486,1.2,2244,5.5
1990,M,17,Zachary,486,1.2,11474,28.2
1995,M,12,Christopher,485,1.2,7003,17.8
1995,M,13,Zachary,485,1.2,7488,19.1
1992,F,5,Samantha,485,1.3,2934,7.6
1993,F,5,Samantha,483,1.3,2851,7.4
1982,M,16,Brandon,483,1.4,11246,31.6
2000,M,5,Andrew,482,1.2,2651,6.4
1991,M,18,Alexander,482,1.2,11532,28.2
2003,F,2,Emily,481,1.2,1033,2.6
1983,M,18,Adam,481,1.4,12449,35.2
2001,M,2,Joshua,480,1.2,1122,2.8
1994,F,4,Sarah,480,1.3,2236,5.9
1984,M,17,Brian,480,1.4,11495,32.5
2007,M,2,Ethan,479,1.0,992,2.2
1997,M,8,Daniel,479,1.2,4570,11.4
2000,M,6,Tyler,478,1.1,3129,7.5
1985,M,15,Jason,478,1.3,10478,29.2
1992,F,6,Emily,477,1.2,3411,8.8
1997,M,9,Matthew,476,1.2,5046,12.6
1996,M,10,Ryan,476,1.2,5731,14.3
