origin,dest,name,lat,lng,IndirectPrice,DirectPrice,anyPrice,kmDist,dollarPerKm
"SFOA","CSLA","San Luis Obispo","35.236667","-120.639167","","234","234","201.56","1.16",
"SFOA","SBYA","Salisbury-Ocean City","38.338611","-75.51","","","","2523.97","",
"SFOA","SCEA","State College","40.770833","-77.881389","","","","2365.42","",
"SFOA","SDFA","Louisville","37.571018","-85.746203","399","","399","1992.38","0.20",
"SFOA","SEAA","Seattle","47.534537","-122.312222","","164","164","674.01","0.24",
"SFOA","SGFA","Springfield","37.205996","-93.302765","509","","509","1590.13","0.32",
"SFOA","SGUA","Saint George","37.093056","-113.592222","","","","486.38","",
"SFOA","SHVA","Shreveport","32.495555","-93.72037","","","","1655.10","",
"SFOA","SITA","Sitka","57.051561","-135.338642","","","","1456.42","",
"SFOA","SJTA","San Angelo","31.413194","-100.463888","434","","434","1320.04","0.33",
"SFOA","SLCA","Salt Lake City","40.784167","-111.966944","","155","155","595.81","0.26",
"SFOA","SLKA","Saranac Lake","44.382778","-74.206667","","","","2514.78","",
"SFOA","SLNA","","","","","","","","",
"SFOA","SNAA","Santa Ana","33.702963","-117.867685","","111","111","379.98","0.29",
"SFOA","SPIA","Springfield","39.80458","-89.649467","","","","1760.35","",
"SFOA","SPSA","Wichita Falls","33.896944","-98.515","","","","1361.52","",
"SFOA","SRQA","Sarasota","27.393889","-82.554167","365","","365","2408.83","0.15",
"SFOA","STLA","St Louis","38.61687","-90.167542","258","294","294","1743.06","0.17",
"SFOA","SUNA","Hailey","43.514937","-114.306251","","","","580.77","",
"SFOA","SUXA","Sioux City","42.498056","-96.395556","","","","1406.64","",
"SFOA","SWFA","Newburgh","41.505833","-74.097222","","","","2550.21","",
"SFOA","SWOA","","","","","","","","",
"SFOA","SYRA","Syracuse","43.110556","-76.1025","427","","427","2431.65","0.18",
"SFOA","TLHA","Tallahassee","30.399722","-84.351944","485","","485","2220.87","0.22",
"SFOA","TOLA","Toledo","41.665556","-83.575278","4646","","4646","2063.95","2.25",
"SFOA","TRIA","Kingsport","36.552139","-82.474194","","","","2184.06","",
"SFOA","TULB","Tulsa","36.1538","-95.992","","","","1458.30","",
"SFOA","TUSA","Tucson","32.236111","-111.016389","317","474","474","749.54","0.63",
"SFOA","TVCA","Traverse City","44.74","-85.585833","757","","757","1954.54","0.39",
"SFOA","TWFA","","","","451","","451","","",
"SFOA","TXKA","Texarkana","33.456389","-93.989167","","","","1617.96","",
"SFOA","TYRA","","","","","","","","",
