airline,country,status
Air Hawaii,USA,Inactive
Air Holland,Netherlands,Inactive
Air Hong Kong,Hong-Kong,Active
Air Horizons,France,Inactive
Air Iceland,Iceland,Active
Air Incheon,South Korea,Active
Air India,India,Active
Air India Express,India,Active
Air India Regional,India,Active
Air Indus,Pakistan,Active
Air Industria,Italy,Inactive
Air Inter,France,Inactive
Air Inter Cameroon,Cameroon,Inactive
Air Inter Congo,Congo,Inactive
Air Inter Gabon,Gabon,Inactive
Air Inuit,Canada,Active
Air Italy,Italy,Active
Air Italy Polska,Poland,Inactive
Air Ivoire,Ivory Coast,Inactive
Air Jamaica,Jamaica,Active
Air Jamaica Express,Jamaica,Inactive
Air Jet,France,Inactive
Air Jet Angola,Angola,Inactive
Air Kasai,"Congo, Democratic Republic of",Inactive
Air Kazakstan,Kazakhstan,Inactive
Air KBZ,Myanmar,Active
Air Kenya,Kenya,Active
Air Kiribati,Kiribati,Inactive
Air Lanka,Sri Lanka,Inactive
Air Lib,France,Inactive
Air Liberia,Liberia,Inactive
Air Liberte,France,Inactive
Air Libya,Libya,Active
Air Limousin,France,Inactive
Air Inter Gabon,Gabon,Inactive
Air Inuit,Canada,Active
Air Italy,Italy,Active
Air Italy Polska,Poland,Inactive
Air Ivoire,Ivory Coast,Inactive
Air Jamaica,Jamaica,Active
Air Jamaica Express,Jamaica,Inactive
Air Jet,France,Inactive
Air Jet Angola,Angola,Inactive
Air Kasai,"Congo, Democratic Republic of",Inactive
Air Kazakstan,Kazakhstan,Inactive
Air KBZ,Myanmar,Active
Air Kenya,Kenya,Active
Air Kiribati,Kiribati,Inactive
Air Lanka,Sri Lanka,Inactive
Air Lib,France,Inactive
Air Liberia,Liberia,Inactive
Air Liberte,France,Inactive
Air Libya,Libya,Active
Air Limousin,France,Inactive
Air Lithuania,Lithuania,Active
Air Littoral,France,Inactive
Air Lituanica,Lithuania,Active
Air Luxor,Portugal,Inactive
Air Macau,China,Active
Air Madagascar,Madagascar,Active
Air Madeira,Portugal,Inactive
Air Madrid,Spain,Inactive
Air Malawi,Malawi,Active
Air Maldives,Maldives,Inactive
Air Mali,Mali,Active
Air Malta,Malta,Active
Air Mandalay,Myanmar,Active
Air Manitoba,Canada,Inactive
Air Marshall Islands,Marshall Islands,Active
Air Martinique,France,Inactive
Air Mauritanie,Mauritania,Inactive
Air Mauritius,Mauritius,Active
Air Max Africa,Gabon,Inactive
Air Mediterranee,France,Active
Air Lithuania,Lithuania,Active
Air Littoral,France,Inactive
Air Lituanica,Lithuania,Active
Air Luxor,Portugal,Inactive
Air Macau,China,Active
Air Madagascar,Madagascar,Active
Air Madeira,Portugal,Inactive
Air Madrid,Spain,Inactive
Air Malawi,Malawi,Active
Air Maldives,Maldives,Inactive
Air Mali,Mali,Active
Air Malta,Malta,Active
Air Mandalay,Myanmar,Active
Air Manitoba,Canada,Inactive
Air Marshall Islands,Marshall Islands,Active
Air Martinique,France,Inactive
Air Mauritanie,Mauritania,Inactive
Air Mauritius,Mauritius,Active
Air Max Africa,Gabon,Inactive
Air Mediterranee,France,Active
Air Mekong,Vietnam,Inactive
Air Memphis,Egypt,Active
Air Meuse,Belgium,Inactive
Air Midi Bigorre,France,Inactive
Air Midroc,Ethiopia,Inactive
Air Midwest,Egypt,Inactive
Air Midwest Nigeria,Nigeria,Inactive
Air Midwest USA,USA,Inactive
Air Mikisew,Canada,Inactive
Air Minas,Brazil,Inactive
Air Moldova,Moldavia,Active
Air Montreal,Canada,Inactive
Air Namibia,Namibia,Active
Air National,USA,Inactive
